;rep;fold;RSQ_train;RSQ_test;RSQ_eval;pct_diff_tt;mean_ttdiff_age;mean_ttdiff_sex;mean_ttdiff_bmi;mean_ttdiff_children;mean_ttdiff_smoker;mean_ttdiff_charges
0;0;0;0.7434934377670288;0.7760888338088989;0.8197209239006042;-0.041999568376596796;0.02354620521479389;0.0241080841147423;-0.0002745947068927279;-0.0061202936723034895;0.31792493841472247;0.14904936771746202
1;0;1;0.7267282605171204;0.6805312633514404;0.7405206561088562;0.0678837250447124;-0.037663001472692414;-0.022085704076303503;-0.05896725531189395;-0.04827090246148802;0.0026920193552784077;-0.03743324099669931
2;0;2;0.7813962697982788;0.7835285663604736;0.7822755575180054;-0.002721402452624644;-0.08211963458680771;0.1094574387043985;0.03985887282869505;0.028121196592146624;-0.17335130514826735;-0.10280209435620213
3;0;3;0.8134630918502808;0.7608606815338135;0.7648563385009766;0.0691354036200511;0.08452068107916677;-0.06306897400147615;0.025431647054113604;-0.0014655593551539114;0.10075777371309114;0.06313208483608768
4;0;4;0.7185508012771606;0.7091866135597229;0.7270177602767944;0.013204123623308028;0.01520902925397305;-0.04494382022471899;-0.004837780836726924;0.02861024919536681;-0.21176586036013934;-0.06358437613950851
5;0;0;0.8320703506469727;0.7760888338088989;0.9125564098358154;0.0721328724230279;0.02354620521479389;0.0241080841147423;-0.0002745947068927279;-0.0061202936723034895;0.31792493841472247;0.14904936771746202
6;0;1;0.7908945679664612;0.6805312633514404;0.7421314120292664;0.16217227709937965;-0.037663001472692414;-0.022085704076303503;-0.05896725531189395;-0.04827090246148802;0.0026920193552784077;-0.03743324099669931
7;0;2;0.6817712783813477;0.7835285663604736;0.6845138072967529;-0.1298705527123194;-0.08211963458680771;0.1094574387043985;0.03985887282869505;0.028121196592146624;-0.17335130514826735;-0.10280209435620213
8;0;3;0.7947376370429993;0.7608606815338135;0.847111165523529;0.04452451852406614;0.08452068107916677;-0.06306897400147615;0.025431647054113604;-0.0014655593551539114;0.10075777371309114;0.06313208483608768
9;0;4;0.839397668838501;0.7091866135597229;0.7874925136566162;0.18360619446155502;0.01520902925397305;-0.04494382022471899;-0.004837780836726924;0.02861024919536681;-0.21176586036013934;-0.06358437613950851
10;1;0;0.7989600896835327;0.8375674486160278;0.7749903798103333;-0.0460946267626432;0.04048264607921337;0.0241080841147423;-0.016223406399279328;-0.04827090246148802;-0.08690850679338735;-0.037291711494574886
11;1;1;0.744003415107727;0.7022740840911865;0.7686777114868164;0.059420291823159666;0.0483208457135873;0.005527915975677367;0.007867928081272124;0.036755175113255545;-0.042513675964071185;0.031480617640312625
12;1;2;0.7894402742385864;0.6476573944091797;0.6942582726478577;0.21891648432231214;-0.06481890244298294;-0.06743653992809684;-0.016300648148907304;0.08037436408590182;0.14340270478592942;0.05883905728018335
13;1;3;0.752328097820282;0.7664286494255066;0.6631689667701721;-0.018397735543672522;0.011659906581909407;-0.01750574213172762;0.019953408017486796;-0.08957709897803623;-0.1480560803420503;-0.061477188007846295
14;1;4;0.7643903493881226;0.8269550800323486;0.8079419732093811;-0.07565674624282936;-0.033809085562188645;0.05716685918303055;0.004975023338662732;0.024291614915802562;0.1487577148282957;0.010251341340740128
15;1;0;0.7712744474411011;0.8375674486160278;0.8355210423469543;-0.07914944794531764;0.04048264607921337;0.0241080841147423;-0.016223406399279328;-0.04827090246148802;-0.08690850679338735;-0.037291711494574886
16;1;1;0.7621723413467407;0.7022740840911865;0.7953994274139404;0.08529185201682132;0.0483208457135873;0.005527915975677367;0.007867928081272124;0.036755175113255545;-0.042513675964071185;0.031480617640312625
17;1;2;0.7668614983558655;0.6476573944091797;0.6439038515090942;0.18405426229315092;-0.06481890244298294;-0.06743653992809684;-0.016300648148907304;0.08037436408590182;0.14340270478592942;0.05883905728018335
18;1;3;0.7930043339729309;0.7664286494255066;0.8215970396995544;0.03467470137937134;0.011659906581909407;-0.01750574213172762;0.019953408017486796;-0.08957709897803623;-0.1480560803420503;-0.061477188007846295
19;1;4;0.7269201278686523;0.8269550800323486;0.6975682973861694;-0.12096781866287487;-0.033809085562188645;0.05716685918303055;0.004975023338662732;0.024291614915802562;0.1487577148282957;0.010251341340740128
20;2;0;0.787254273891449;0.7646608352661133;0.5831582546234131;0.029547006441715817;-0.1272486611392255;0.08068679160588021;-0.01819153469361856;-0.039897885677455336;0.16762883694733888;0.030073394038905077
21;2;1;0.7411561012268066;0.7414398193359375;0.7050068378448486;-0.00038265831120987137;0.08514841417492347;0.0428269102249943;0.017127970271073822;0.015225669597219493;-0.10880863539445629;-0.005258434918446575
22;2;2;0.7845549583435059;0.7156527042388916;0.777243435382843;0.096278898544641;-0.030283863206961192;0.0428269102249943;0.008660713809698573;-0.014607812003810894;0.16762883694733888;0.050120447926917944
23;2;3;0.7674795389175415;0.7170854210853577;0.7908559441566467;0.07027631067426943;0.02610948529430046;-0.12547828727604016;-0.046715978796597835;-0.039611019220897714;-0.19071555292726194;-0.1046865890321409
24;2;4;0.820219874382019;0.7598850727081299;0.9246107935905457;0.07939990380237893;0.052104061168701366;-0.035831357592000845;0.03999423424478765;0.08101766206453376;-0.015423901940755824;0.03267168052680125
25;2;0;0.735479474067688;0.7646608352661133;0.7275294065475464;-0.03816248963276603;-0.1272486611392255;0.08068679160588021;-0.01819153469361856;-0.039897885677455336;0.16762883694733888;0.030073394038905077
26;2;1;0.8373968601226807;0.7414398193359375;0.8487943410873413;0.1294198642752773;0.08514841417492347;0.0428269102249943;0.017127970271073822;0.015225669597219493;-0.10880863539445629;-0.005258434918446575
27;2;2;0.7423893213272095;0.7156527042388916;0.832871675491333;0.03735976533024177;-0.030283863206961192;0.0428269102249943;0.008660713809698573;-0.014607812003810894;0.16762883694733888;0.050120447926917944
28;2;3;0.7469784021377563;0.7170854210853577;0.6062031984329224;0.04168677841358659;0.02610948529430046;-0.12547828727604016;-0.046715978796597835;-0.039611019220897714;-0.19071555292726194;-0.1046865890321409
29;2;4;0.7370098233222961;0.7598850727081299;0.7446321249008179;-0.030103564614461176;0.052104061168701366;-0.035831357592000845;0.03999423424478765;0.08101766206453376;-0.015423901940755824;0.03267168052680125
30;3;0;0.7439887523651123;0.7135498523712158;0.7079607844352722;0.042658406967283735;0.028437125633631988;-0.11196728833229874;0.03656424948712167;0.054112526238522474;-0.06481107973645284;0.011427644236952084
31;3;1;0.7429378032684326;0.6617303490638733;0.7376081347465515;0.12271985759673965;-0.002744930211521779;-0.003710651916020602;0.009491975971627875;0.023815314508077057;0.07207020453289092;-0.004327711992725525
32;3;2;0.8026624917984009;0.7078979015350342;0.7878481149673462;0.1338675959596367;-0.05773545479901099;0.005527915975677367;-0.0033441844033369472;0.028121196592146624;-0.10880863539445629;-0.08055621425774084
33;3;3;0.705946683883667;0.8008361458778381;0.734441876411438;-0.11848798594144105;0.022099746740092074;0.09534691804735607;0.0001887281423926801;-0.060552994519277314;0.1976676074338357;0.06454870467835216
34;3;4;0.8083696961402893;0.7080208659172058;0.8621206879615784;0.1417314588505616;0.010995003983625073;0.019553480227637587;-0.0423724682886919;-0.04381357622498516;-0.08263213583916973;0.011314970240937416
35;3;0;0.7279627323150635;0.7135498523712158;0.7270694375038147;0.020198840902218462;0.028437125633631988;-0.11196728833229874;0.03656424948712167;0.054112526238522474;-0.06481107973645284;0.011427644236952084
36;3;1;0.7522475123405457;0.6617303490638733;0.769548237323761;0.1367885928229282;-0.002744930211521779;-0.003710651916020602;0.009491975971627875;0.023815314508077057;0.07207020453289092;-0.004327711992725525
37;3;2;0.6940164566040039;0.7078979015350342;0.780103862285614;-0.019609388445606668;-0.05773545479901099;0.005527915975677367;-0.0033441844033369472;0.028121196592146624;-0.10880863539445629;-0.08055621425774084
38;3;3;0.7447472810745239;0.8008361458778381;0.7129956483840942;-0.07003787864973587;0.022099746740092074;0.09534691804735607;0.0001887281423926801;-0.060552994519277314;0.1976676074338357;0.06454870467835216
39;3;4;0.802960216999054;0.7080208659172058;0.7366596460342407;0.13409117676053084;0.010995003983625073;0.019553480227637587;-0.0423724682886919;-0.04381357622498516;-0.08263213583916973;0.011314970240937416
40;4;0;0.832088828086853;0.7021072506904602;0.7590646743774414;0.18513065812746898;-0.01939217433464835;-0.05843269939152507;0.003964977262521874;0.07159010144084776;-0.1520274732532031;-0.05614030948241999
41;4;1;0.74541175365448;0.7021853923797607;0.7603887319564819;0.06155975579073458;-0.016771050754659567;-0.07640757958839695;-0.024235869285460954;0.006665390993749076;-0.23621025308241395;-0.043786010335362224
42;4;2;0.7202023267745972;0.7616779208183289;0.7116990089416504;-0.05445292939458091;-0.03462719226624;-0.022085704076303503;0.042949588311192555;-0.04408793595474392;0.0026920193552784077;0.006853518045031093
43;4;3;0.6711809635162354;0.7354309558868408;0.7743868231773376;-0.0873637312331077;0.04019402118734505;0.1049819800720797;-0.03278334467245991;-0.09780729773401986;0.07709113607990004;-0.022007962368761014
44;4;4;0.8187427520751953;0.8501158952713013;0.7882308959960938;-0.03690454839230328;0.03168917674351435;0.05716685918303055;0.010769010908505905;0.06781389296223317;0.3501233214579338;0.11924912398271714
45;4;0;0.7567161917686462;0.7021072506904602;0.8369464874267578;0.07777863143342123;-0.01939217433464835;-0.05843269939152507;0.003964977262521874;0.07159010144084776;-0.1520274732532031;-0.05614030948241999
46;4;1;0.801482617855072;0.7021853923797607;0.8140407800674438;0.1414116934828069;-0.016771050754659567;-0.07640757958839695;-0.024235869285460954;0.006665390993749076;-0.23621025308241395;-0.043786010335362224
47;4;2;0.6976084113121033;0.7616779208183289;0.7513071298599243;-0.08411627507515351;-0.03462719226624;-0.022085704076303503;0.042949588311192555;-0.04408793595474392;0.0026920193552784077;0.006853518045031093
48;4;3;0.7007749676704407;0.7354309558868408;0.7160841822624207;-0.047123374314056776;0.04019402118734505;0.1049819800720797;-0.03278334467245991;-0.09780729773401986;0.07709113607990004;-0.022007962368761014
49;4;4;0.8528827428817749;0.8501158952713013;0.8177446126937866;0.0032546710699847825;0.03168917674351435;0.05716685918303055;0.010769010908505905;0.06781389296223317;0.3501233214579338;0.11924912398271714
